Tag	        Temperatur
01.01.2001	-3,4
02.01.2001	3,7
03.01.2001	2,8
04.01.2001	1,5
05.01.2001	4
06.01.2001	5,8
07.01.2001	5
08.01.2001	1,3
09.01.2001	0,4
10.01.2001	-0,4
11.01.2001	2,1
12.01.2001	1,8
13.01.2001	0,3
14.01.2001	-2,8
15.01.2001	-3,4
16.01.2001	-4,5
17.01.2001	-4,5
18.01.2001	-1,5
19.01.2001	-1,1
20.01.2001	-0,2
21.01.2001	-0,6
22.01.2001	2,1
23.01.2001	4,3
24.01.2001	5,8
25.01.2001	5,2
26.01.2001	3,9
27.01.2001	1,3
28.01.2001	-1,2
29.01.2001	-1,6
30.01.2001	-1,5
31.01.2001	-1
